"","Atropello","Caida_de_Ocupante","Choque","Incendio","Otro","Volcamiento","kmm.cluster"
"La Oculta",5,8,15,0,6,4,2
"La Palma",66,50,449,0,62,20,2
"La Pilarica",44,72,519,0,78,23,1
"La Pinuela",58,63,226,0,48,24,2
"La Pradera",65,61,199,0,75,28,2
"La Rosa",73,33,139,0,40,11,2
"La Salle",172,67,280,0,87,37,1
"La Sierra",1,6,1,0,10,2,2
"La Verde",3,8,92,0,9,4,2
"Lalinde",4,7,163,0,2,3,2
"Las Acacias",77,111,1286,0,139,39,1
"Las Brisas",74,123,750,0,182,43,1
"Las Esmeraldas",54,40,141,0,40,16,2
"Las Estancias",78,56,130,0,51,24,2
"Las Granjas",281,150,577,0,183,64,1
"Las Independencias",37,9,16,0,11,9,2
"Las Lomas No.1",18,33,530,0,56,17,2
"Las Lomas No.2",8,18,314,0,41,15,2
"Las Mercedes",34,33,253,0,44,20,2
"Las Palmas",61,69,448,1,94,45,1
"Las Playas",33,53,432,0,84,34,2
"Las Violetas",67,48,221,0,44,18,2
"Laureles",73,59,1436,0,134,34,1
"Llanaditas",33,10,32,0,9,4,2
"Loma de los Bernal",29,43,334,0,61,17,2
"Lopez de Mesa",94,222,466,0,196,37,1
"Lorena",93,64,757,1,71,18,1
"Loreto",148,99,438,0,141,50,1
"Los Alcazares",55,66,331,0,50,23,1
"Los Alpes",48,49,330,0,70,19,2
"Los Angeles",124,86,945,0,136,42,1
"Los Balsos No.1",6,17,394,0,37,15,2
"Los Balsos No.2",30,28,808,0,40,13,2
"Los Cerros El Vergel",36,23,135,0,42,10,2
"Los Colores",210,330,1731,2,400,118,3
"Los Conquistadores",175,227,3196,0,379,125,4
"Los Mangos",125,80,297,0,79,37,1
"Los Naranjos",21,31,612,0,52,22,2
"Los Pinos",85,86,806,1,130,34,1
"Manila",68,105,1837,0,160,50,3
"Manrique Central No. 1",105,120,845,0,177,52,1
"Manrique Central No. 2",108,112,459,0,111,39,1
"Manrique Oriental",158,108,604,0,132,44,1
"Maria Cano Carambolas",33,1,27,0,11,3,2
"Media Luna",1,1,4,0,1,0,2
"Metropolitano",6,9,14,0,8,5,2
"Mirador del Doce",12,14,6,0,12,0,2
"Miraflores",56,53,485,0,81,33,2
"Miranda",153,86,778,0,122,40,1
"Miravalle",8,7,70,0,10,6,2
"Monteclaro",14,25,51,0,26,9,2
"Moravia",220,108,826,0,152,45,1
"Moscu No. 1",79,54,203,0,42,19,2
"Moscu No. 2",112,59,161,0,59,22,2
"Naranjal",170,217,2456,0,320,88,3
"Nueva Villa de Aburra",18,10,168,0,21,8,2
"Nueva Villa de la Iguana",32,48,399,0,64,17,2
"Nuevos Conquistadores",26,16,33,0,17,5,2
"Ocho de Marzo",13,2,36,0,10,5,2
"Olaya Herrera",54,33,113,0,38,9,2
"Oleoducto",52,97,811,0,117,55,1
"Oriente",31,14,43,0,16,7,2
"Pablo VI",38,13,46,0,6,6,2
"Pajarito",11,37,94,0,44,10,2
"Palenque",28,34,219,0,41,10,2
"Palermo",89,57,315,0,62,26,2
"Palmitas Sector Central",0,0,2,0,0,0,2
"Parque Juan Pablo II",44,67,743,0,111,50,1
"Parque Norte",23,18,152,0,15,6,2
"Patio Bonito",41,50,992,0,83,28,1
"Pedregal",188,176,473,0,161,44,1
"Pedregal Alto",2,14,22,0,18,4,2
"Pedregal Bajo",8,17,28,0,15,8,2
"Perpetuo Socorro",202,294,3968,0,447,155,4
"Picachito",17,24,40,0,15,7,2
"Picacho",155,207,355,0,148,31,1
"Piedras Blancas",41,19,42,0,16,5,2
"Piedras Blancas Represa",0,1,2,0,1,0,2
"Playon de Los Comuneros",72,28,237,0,41,17,2
"Plaza de Ferias",9,8,109,0,9,5,2
"Popular",140,81,224,1,70,23,2
"Potrerito",1,0,2,0,0,0,2
"Prado",192,164,1738,2,213,78,3
"Robledo",102,208,641,0,209,82,1
"Rosales",89,105,1378,0,138,49,3
"San Antonio",9,7,12,0,7,1,2
"San Benito",404,203,2522,1,244,88,4
"San Bernardo",127,112,844,0,131,60,1
"San Diego",166,195,2518,0,288,101,3
"San German",91,71,744,0,102,34,1
"San Isidro",175,141,653,0,170,53,1
"San Javier No.1",106,96,454,0,108,40,1
"San Javier No.2",69,34,174,0,32,4,2
"San Joaquin",43,23,517,0,51,24,1
"San Jose de la Montana",0,0,1,0,1,1,2
"San Jose la Cima No. 1",14,4,17,0,4,2,2
"San Jose la Cima No.2",4,7,1,0,6,4,2
"San Lucas",10,9,283,0,14,10,2
"San Martin de Porres",119,138,318,0,118,39,1
"San Miguel",82,93,640,0,116,46,1
"San Pablo",98,63,155,0,55,23,2
"San Pedro",115,80,725,1,104,18,1
"Santa Cruz",90,35,202,0,51,8,2
"Santa Elena Sector Central",0,0,6,0,1,1,2
"Santa Fe",237,276,2902,1,409,169,4
"Santa Ines",121,71,318,0,111,30,2
"Santa Lucia",45,32,177,0,28,13,2
"Santa Margarita",38,80,186,0,63,18,2
"Santa Maria de los Angeles",40,61,1005,0,136,37,1
"Santa Monica",23,40,305,0,50,11,2
"Santa Rosa de Lima",5,4,15,0,4,0,2
"Santa Teresita",23,13,281,0,25,11,2
"Santander",150,129,292,0,105,22,1
"Santo Domingo Savio No. 1",193,74,179,0,94,34,2
"Santo Domingo Savio No. 2",53,27,50,0,19,5,2
"Sevilla",149,142,1037,0,149,42,1
"Simon Bolivar",29,27,447,0,31,12,2
"SUBURB El Plan",7,15,12,0,15,5,2
"Suburbano Aguas Frias",2,0,1,0,1,1,2
"Suburbano Altavista",7,9,38,0,19,4,2
"Suburbano Barro Blanco",0,0,1,0,0,0,2
"Suburbano El Llano",2,4,25,0,4,2,2
"Suburbano el Tesoro",2,3,12,0,2,2,2
"Suburbano La Cuchilla",0,0,2,0,0,0,2
"Suburbano La Loma",33,37,148,0,51,12,2
"Suburbano La Palma-El Patio",2,6,27,0,1,1,2
"Suburbano Mirador del Poblado",2,8,46,1,14,14,2
"Suburbano Palmitas",1,0,7,0,1,1,2
"Suburbano Pedregal alto",2,3,10,0,10,3,2
"Suburbano Piedra Gorda",0,0,1,0,0,0,2
"Suburbano Potrerito",2,1,1,0,0,0,2
"Suburbano Travesias",18,14,40,0,12,7,2
"Sucre",73,62,506,0,98,34,1
"Suramericana",94,106,1473,1,167,41,3
"Tejelo",132,145,414,0,118,46,1
"Tenche",49,50,907,0,94,21,1
"Terminal de Transporte",177,228,2262,0,365,84,3
"Toscana",84,94,938,0,111,49,3
"Trece de Noviembre",30,6,61,0,8,3,2
"Tricentenario",55,94,775,0,131,56,1
"Trinidad",172,64,909,0,92,35,1
"U.D. Atanasio Girardot",38,21,214,0,40,6,2
"U.P.B.",5,8,113,0,10,6,2
"Universidad de Antioquia",49,113,708,0,150,52,1
"Universidad Nacional",98,129,1512,0,186,80,3
"Veinte de Julio",88,41,201,0,57,17,1
"Versalles No. 1",148,81,251,0,109,33,2
"Versalles No. 2",22,14,41,0,8,3,2
"Villa Carlota",92,103,2201,2,150,77,3
"Villa del Socorro",105,55,251,0,75,21,2
"Villa Flora",57,144,582,0,169,36,1
"Villa Guadalupe",108,65,191,0,77,22,2
"Villa Hermosa",127,73,348,0,96,34,1
"Villa Liliam",45,25,58,0,18,11,2
"Villa Niza",41,30,117,0,28,9,2
"Villa Nueva",481,257,2630,1,251,103,4
"Villa Turbay",11,11,18,0,11,1,2
"Villatina",117,95,233,0,99,40,2
"Volcana Guayabal",1,0,0,0,1,1,2
"Yarumalito",0,0,0,0,0,1,2
"Yolombo",1,0,26,0,7,2,2
