"","Choque","Atropello","Otro","Caida_de_Ocupante","Volcamiento","Incendio","Caida","kmm.cluster"
"La Avanzada",64,9,17,93,0,19,10,2
"La Candelaria",1006,98,257,4130,0,316,109,4
"La Castellana",61,7,28,704,0,48,15,1
"La Colina",65,36,48,417,0,99,31,1
"La Cruz",39,2,13,58,0,18,8,2
"La Esperanza",167,40,101,314,0,127,34,1
"La Esperanza No. 2",63,3,16,77,0,20,14,2
"La Floresta",84,26,54,568,0,91,25,1
"La Florida",47,9,33,882,0,57,25,1
"La Francia",80,14,36,183,0,37,17,2
"La Frisola",0,0,0,1,0,1,0,2
"La Frontera",51,8,18,129,0,32,10,2
"La Gloria",51,33,75,745,0,162,43,1
"La Hondonada",11,11,19,150,0,34,4,2
"La Isla",77,5,16,87,0,33,9,2
"La Ladera",7,1,9,46,0,11,4,2
"La Libertad",77,16,46,193,0,74,18,2
"La Loma",4,0,7,22,0,3,1,2
"La Loma Oriental",7,3,10,36,0,6,7,2
"La Mansion",41,2,31,239,0,46,16,2
"La Milagrosa",77,17,48,373,0,62,22,1
"La mota",31,9,49,408,0,76,31,2
"La Oculta",5,1,7,15,0,6,4,2
"La Palma",66,11,39,449,0,62,20,2
"La Pilarica",44,15,57,519,0,78,23,1
"La Pinuela",58,19,44,226,0,48,24,2
"La Pradera",65,18,43,199,0,75,28,2
"La Rosa",73,11,22,139,0,40,11,2
"La Salle",172,15,52,280,0,87,37,1
"La Sierra",1,3,3,1,0,10,2,2
"La Verde",3,1,7,92,0,9,4,2
"Lalinde",4,3,4,163,0,2,3,2
"Las Acacias",77,29,82,1286,0,139,39,1
"Las Brisas",74,24,99,750,0,182,43,1
"Las Esmeraldas",54,11,29,141,0,40,16,2
"Las Estancias",78,14,42,130,0,51,24,2
"Las Granjas",281,46,104,577,0,183,64,1
"Las Independencias",37,4,5,16,0,11,9,2
"Las Lomas No.1",18,9,24,530,0,56,17,2
"Las Lomas No.2",8,7,11,314,0,41,15,2
"Las Mercedes",34,12,21,253,0,44,20,2
"Las Palmas",61,24,45,448,1,94,45,1
"Las Playas",33,16,37,432,0,84,34,2
"Las Violetas",67,13,35,221,0,44,18,2
"Laureles",73,16,43,1436,0,134,34,1
"Llanaditas",33,1,9,32,0,9,4,2
"Loma de los Bernal",29,17,26,334,0,61,17,2
"Lopez de Mesa",94,59,163,466,0,196,37,1
"Lorena",93,19,45,757,1,71,18,1
"Loreto",148,28,71,438,0,141,50,1
"Los Alcazares",55,19,47,331,0,50,23,1
"Los Alpes",48,20,29,330,0,70,19,2
"Los Angeles",124,20,66,945,0,136,42,1
"Los Balsos No.1",6,8,9,394,0,37,15,2
"Los Balsos No.2",30,6,22,808,0,40,13,2
"Los Cerros El Vergel",36,11,12,135,0,42,10,2
"Los Colores",210,73,257,1731,2,400,118,3
"Los Conquistadores",175,70,157,3196,0,379,125,4
"Los Mangos",125,24,56,297,0,79,37,1
"Los Naranjos",21,11,20,612,0,52,22,2
"Los Pinos",85,24,62,806,1,130,34,1
"Manila",68,32,73,1837,0,160,50,3
"Manrique Central No. 1",105,35,85,845,0,177,52,1
"Manrique Central No. 2",108,34,78,459,0,111,39,1
"Manrique Oriental",158,32,76,604,0,132,44,1
"Maria Cano Carambolas",33,0,1,27,0,11,3,2
"Media Luna",1,0,1,4,0,1,0,2
"Metropolitano",6,2,7,14,0,8,5,2
"Mirador del Doce",12,3,11,6,0,12,0,2
"Miraflores",56,22,31,485,0,81,33,2
"Miranda",153,22,64,778,0,122,40,1
"Miravalle",8,0,7,70,0,10,6,2
"Monteclaro",14,3,22,51,0,26,9,2
"Moravia",220,26,82,826,0,152,45,1
"Moscu No. 1",79,9,45,203,0,42,19,2
"Moscu No. 2",112,14,45,161,0,59,22,2
"Naranjal",170,60,157,2456,0,320,88,3
"Nueva Villa de Aburra",18,3,7,168,0,21,8,2
"Nueva Villa de la Iguana",32,18,30,399,0,64,17,2
"Nuevos Conquistadores",26,5,11,33,0,17,5,2
"Ocho de Marzo",13,1,1,36,0,10,5,2
"Olaya Herrera",54,8,25,113,0,38,9,2
"Oleoducto",52,21,76,811,0,117,55,1
"Oriente",31,2,12,43,0,16,7,2
"Pablo VI",38,3,10,46,0,6,6,2
"Pajarito",11,4,33,94,0,44,10,2
"Palenque",28,8,26,219,0,41,10,2
"Palermo",89,10,47,315,0,62,26,2
"Palmitas Sector Central",0,0,0,2,0,0,0,2
"Parque Juan Pablo II",44,26,41,743,0,111,50,1
"Parque Norte",23,6,12,152,0,15,6,2
"Patio Bonito",41,9,41,992,0,83,28,1
"Pedregal",188,54,122,473,0,161,44,1
"Pedregal Alto",2,5,9,22,0,18,4,2
"Pedregal Bajo",8,6,11,28,0,15,8,2
"Perpetuo Socorro",202,78,216,3968,0,447,155,4
"Picachito",17,6,18,40,0,15,7,2
"Picacho",155,49,158,355,0,148,31,1
"Piedras Blancas",41,4,15,42,0,16,5,2
"Piedras Blancas Represa",0,0,1,2,0,1,0,2
"Playon de Los Comuneros",72,6,22,237,0,41,17,2
"Plaza de Ferias",9,4,4,109,0,9,5,2
"Popular",140,15,66,224,1,70,23,2
"Potrerito",1,0,0,2,0,0,0,2
"Prado",192,39,125,1738,2,213,78,3
"Robledo",102,53,155,641,0,209,82,1
"Rosales",89,41,64,1378,0,138,49,3
"San Antonio",9,2,5,12,0,7,1,2
"San Benito",404,60,143,2522,1,244,88,4
"San Bernardo",127,37,75,844,0,131,60,1
"San Diego",166,52,143,2518,0,288,101,3
"San German",91,27,44,744,0,102,34,1
"San Isidro",175,36,105,653,0,170,53,1
"San Javier No.1",106,29,67,454,0,108,40,1
"San Javier No.2",69,11,23,174,0,32,4,2
"San Joaquin",43,6,17,517,0,51,24,1
"San Jose de la Montana",0,0,0,1,0,1,1,2
"San Jose la Cima No. 1",14,2,2,17,0,4,2,2
"San Jose la Cima No.2",4,3,4,1,0,6,4,2
"San Lucas",10,4,5,283,0,14,10,2
"San Martin de Porres",119,38,100,318,0,118,39,1
"San Miguel",82,28,65,640,0,116,46,1
"San Pablo",98,14,49,155,0,55,23,2
"San Pedro",115,30,50,725,1,104,18,1
"Santa Cruz",90,8,27,202,0,51,8,2
"Santa Elena Sector Central",0,0,0,6,0,1,1,2
"Santa Fe",237,71,205,2902,1,409,169,4
"Santa Ines",121,18,53,318,0,111,30,2
"Santa Lucia",45,10,22,177,0,28,13,2
"Santa Margarita",38,16,64,186,0,63,18,2
"Santa Maria de los Angeles",40,22,39,1005,0,136,37,1
"Santa Monica",23,15,25,305,0,50,11,2
"Santa Rosa de Lima",5,1,3,15,0,4,0,2
"Santa Teresita",23,4,9,281,0,25,11,2
"Santander",150,32,97,292,0,105,22,1
"Santo Domingo Savio No. 1",193,24,50,179,0,94,34,2
"Santo Domingo Savio No. 2",53,9,18,50,0,19,5,2
"Sevilla",149,27,115,1037,0,149,42,1
"Simon Bolivar",29,9,18,447,0,31,12,2
"SUBURB El Plan",7,2,13,12,0,15,5,2
"Suburbano Aguas Frias",2,0,0,1,0,1,1,2
"Suburbano Altavista",7,3,6,38,0,19,4,2
"Suburbano Barro Blanco",0,0,0,1,0,0,0,2
"Suburbano El Llano",2,0,4,25,0,4,2,2
"Suburbano el Tesoro",2,0,3,12,0,2,2,2
"Suburbano La Cuchilla",0,0,0,2,0,0,0,2
"Suburbano La Loma",33,11,26,148,0,51,12,2
"Suburbano La Palma-El Patio",2,3,3,27,0,1,1,2
"Suburbano Mirador del Poblado",2,1,7,46,1,14,14,2
"Suburbano Palmitas",1,0,0,7,0,1,1,2
"Suburbano Pedregal alto",2,2,1,10,0,10,3,2
"Suburbano Piedra Gorda",0,0,0,1,0,0,0,2
"Suburbano Potrerito",2,1,0,1,0,0,0,2
"Suburbano Travesias",18,5,9,40,0,12,7,2
"Sucre",73,13,49,506,0,98,34,1
"Suramericana",94,26,80,1473,1,167,41,3
"Tejelo",132,43,102,414,0,118,46,1
"Tenche",49,15,35,907,0,94,21,1
"Terminal de Transporte",177,53,175,2262,0,365,84,3
"Toscana",84,28,66,938,0,111,49,3
"Trece de Noviembre",30,2,4,61,0,8,3,2
"Tricentenario",55,20,74,775,0,131,56,1
"Trinidad",172,21,43,909,0,92,35,1
"U.D. Atanasio Girardot",38,6,15,214,0,40,6,2
"U.P.B.",5,1,7,113,0,10,6,2
"Universidad de Antioquia",49,22,91,708,0,150,52,1
"Universidad Nacional",98,31,98,1512,0,186,80,3
"Veinte de Julio",88,11,30,201,0,57,17,1
"Versalles No. 1",148,19,62,251,0,109,33,2
"Versalles No. 2",22,1,13,41,0,8,3,2
"Villa Carlota",92,19,84,2201,2,150,77,3
"Villa del Socorro",105,13,42,251,0,75,21,2
"Villa Flora",57,36,108,582,0,169,36,1
"Villa Guadalupe",108,13,52,191,0,77,22,2
"Villa Hermosa",127,19,54,348,0,96,34,1
"Villa Liliam",45,7,18,58,0,18,11,2
"Villa Niza",41,8,22,117,0,28,9,2
"Villa Nueva",481,69,188,2630,1,251,103,4
"Villa Turbay",11,5,6,18,0,11,1,2
"Villatina",117,21,74,233,0,99,40,2
"Volcana Guayabal",1,0,0,0,0,1,1,2
"Yarumalito",0,0,0,0,0,0,1,2
"Yolombo",1,0,0,26,0,7,2,2
